Cinsiyet,65 Yaş Üstü,Medeni Durum,Bakma Sorumluluğu,Müşteri Olma Süresi(Ay),Ev Telefonu Aboneliği,Birden Fazla Abonelik Durumu,İnternet Aboneliği,Güvenlik Hizmeti Aboneliği,Yedekleme Hizmeti Aboneliği,Ekipman Güvenlik Aboneliği,Teknik Destek Aboneliği,IP Tv Aboneliği,Film Abonelği,Sözleşme Süresi,Online Fatura(Kağıtsız),Ödeme Şekli,Aylık Ücret,Toplam Ücret,Kayıp Durumu
Kadın,Hayır,Evli,Var,35,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,19.7,730.4,Yok
Erkek,Hayır,Bekar,Var,3,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Evet,Mail,20.05,75.45,Yok
Erkek,Hayır,Evli,Var,50,Var,Var,Fiber Optik,Yok,Var,Yok,Var,Var,Var,1 Aylık,Hayır,Elektronik,103.7,5071.05,Var
Erkek,Hayır,Evli,Yok,42,Var,Var,Fiber Optik,Var,Yok,Var,Yok,Yok,Var,1 Aylık,Evet,Elektronik,94.4,4014.6,Yok
Erkek,Hayır,Evli,Yok,10,Var,Yok,DSL,Var,Yok,Yok,Var,Yok,Yok,1 Aylık,Evet,Kredi Kartı,54.95,568.85,Yok
Kadın,Hayır,Evli,Yok,61,Var,Yok,Fiber Optik,Var,Var,Yok,Var,Yok,Var,1 Yıllık,Hayır,Havale,93.7,5860.7,Yok
Kadın,Hayır,Bekar,Yok,68,Var,Var,Fiber Optik,Var,Var,Yok,Var,Var,Var,2 Yıllık,Hayır,Kredi Kartı,110.25,7279.35,Yok
Erkek,Hayır,Bekar,Yok,10,Var,Yok,Fiber Optik,Var,Yok,Var,Yok,Var,Var,1 Yıllık,Evet,Elektronik,98.9,1064.95,Yok
Erkek,Hayır,Evli,Yok,65,Var,Var,Fiber Optik,Var,Var,Var,Yok,Yok,Yok,1 Yıllık,Hayır,Elektronik,89.75,5769.6,Var
Kadın,Hayır,Evli,Var,72,Var,Yok,DSL,Var,Yok,Var,Var,Var,Var,2 Yıllık,Evet,Havale,80.45,5886.85,Yok
Erkek,Hayır,Evli,Var,55,Var,Yok,Fiber Optik,Yok,Var,Yok,Var,Yok,Yok,1 Aylık,Hayır,Elektronik,79.4,4238.45,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Evet,Mail,20.3,20.3,Var
Kadın,Hayır,Bekar,Yok,7,Var,Yok,DSL,Yok,Yok,Var,Var,Yok,Var,1 Aylık,Hayır,Havale,62.8,418.3,Yok
Kadın,Hayır,Bekar,Yok,2,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Mail,74.9,136.05,Yok
Kadın,Hayır,Bekar,Yok,9,Var,Yok,Fiber Optik,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,74.85,708.2,Yok
Erkek,Hayır,Bekar,Var,27,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Kredi Kartı,25.85,788.55,Yok
Erkek,Evet,Evli,Yok,7,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,101.95,700.85,Var
Kadın,Hayır,Evli,Yok,64,Var,Yok,DSL,Yok,Var,Var,Var,Yok,Var,2 Yıllık,Evet,Mail,68.3,4378.8,Yok
Erkek,Hayır,Bekar,Yok,70,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Var,Var,Yok,Var,2 Yıllık,Hayır,Havale,48.4,3442.8,Yok
Erkek,Evet,Bekar,Yok,2,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,94.0,181.7,Var
Erkek,Evet,Bekar,Yok,67,Var,Yok,Fiber Optik,Var,Var,Yok,Var,Var,Var,2 Yıllık,Evet,Elektronik,105.05,7171.7,Yok
Kadın,Hayır,Bekar,Yok,45,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Yok,1 Aylık,Evet,Kredi Kartı,89.3,4016.85,Var
Kadın,Hayır,Bekar,Yok,24,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,25.15,553.0,Yok
Erkek,Hayır,Evli,Var,4,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,19.5,96.85,Yok
Erkek,Hayır,Evli,Var,44,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Havale,92.95,4122.9,Yok
Kadın,Hayır,Evli,Var,72,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Mail,20.7,1482.3,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Yok,Fiber Optik,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Kredi Kartı,74.3,74.3,Var
Erkek,Hayır,Bekar,Yok,66,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Havale,19.35,1240.8,Yok
Erkek,Hayır,Bekar,Yok,1,Yok,Telefon Hizmeti Yok,DSL,Yok,Var,Yok,Var,Yok,Var,1 Aylık,Evet,Mail,44.65,44.65,Var
Erkek,Hayır,Evli,Var,13,Var,Yok,Fiber Optik,Var,Yok,Yok,Yok,Yok,Var,1 Aylık,Hayır,Elektronik,84.05,1095.3,Var
Erkek,Hayır,Bekar,Yok,10,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Havale,80.7,788.8,Var
Erkek,Evet,Evli,Yok,65,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,104.35,6578.55,Yok
Erkek,Hayır,Bekar,Var,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,19.55,19.55,Yok
Erkek,Hayır,Evli,Var,38,Var,Yok,DSL,Var,Var,Var,Var,Var,Yok,1 Yıllık,Hayır,Elektronik,74.05,2802.3,Yok
Erkek,Hayır,Bekar,Var,23,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Var,Var,Yok,Yok,2 Yıllık,Hayır,Mail,40.1,857.75,Yok
Kadın,Hayır,Evli,Yok,10,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Mail,20.1,184.4,Yok
Erkek,Hayır,Bekar,Var,4,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,101.7,364.55,Var
Erkek,Hayır,Evli,Var,72,Var,Var,DSL,Var,Yok,Var,Var,Var,Var,2 Yıllık,Evet,Kredi Kartı,83.55,6093.3,Yok
Kadın,Hayır,Evli,Yok,35,Var,Yok,DSL,Yok,Var,Yok,Var,Yok,Yok,1 Aylık,Hayır,Elektronik,56.85,1861.1,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,20.4,20.4,Var
Kadın,Hayır,Evli,Var,58,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,19.55,1079.65,Yok
Erkek,Hayır,Evli,Var,70,Var,Yok,Fiber Optik,Yok,Var,Var,Var,Var,Var,1 Yıllık,Evet,Elektronik,106.15,7475.1,Yok
Erkek,Hayır,Evli,Var,38,Var,Var,DSL,Yok,Var,Var,Yok,Var,Var,1 Yıllık,Hayır,Kredi Kartı,78.95,2862.55,Yok
Kadın,Hayır,Evli,Var,60,Yok,Telefon Hizmeti Yok,DSL,Yok,Var,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,49.75,3069.45,Yok
Erkek,Hayır,Bekar,Yok,26,Var,Var,Fiber Optik,Var,Var,Yok,Yok,Var,Yok,1 Aylık,Evet,Kredi Kartı,92.4,2349.8,Yok
Kadın,Hayır,Bekar,Yok,8,Var,Yok,DSL,Var,Var,Yok,Var,Yok,Yok,1 Yıllık,Hayır,Havale,58.2,469.25,Yok
Erkek,Hayır,Evli,Var,41,Var,Var,Fiber Optik,Yok,Yok,Var,Var,Var,Var,1 Yıllık,Evet,Elektronik,102.6,4213.35,Var
Kadın,Evet,Evli,Yok,36,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Yok,1 Aylık,Evet,Kredi Kartı,91.95,3301.05,Yok
Erkek,Evet,Bekar,Yok,54,Var,Yok,DSL,Yok,Yok,Var,Var,Yok,Var,1 Yıllık,Hayır,Havale,65.25,3529.95,Yok
Erkek,Hayır,Evli,Var,71,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Var,Var,2 Yıllık,Evet,Havale,106.0,7723.7,Var
Kadın,Hayır,Bekar,Yok,55,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,73.1,4144.9,Yok
Kadın,Hayır,Bekar,Yok,72,Var,Var,DSL,Var,Var,Yok,Yok,Yok,Yok,2 Yıllık,Hayır,Havale,59.75,4265.0,Yok
Kadın,Hayır,Bekar,Var,3,Var,Yok,DSL,Var,Yok,Yok,Var,Yok,Yok,1 Aylık,Evet,Mail,55.1,154.65,Var
Kadın,Hayır,Evli,Var,54,Var,Var,DSL,Yok,Var,Var,Yok,Yok,Yok,2 Yıllık,Evet,Havale,59.8,3246.45,Yok
Erkek,Hayır,Evli,Var,72,Var,Var,Fiber Optik,Var,Var,Var,Var,Var,Var,2 Yıllık,Evet,Havale,116.6,8337.45,Yok
Erkek,Hayır,Bekar,Yok,52,Var,Var,Fiber Optik,Var,Yok,Var,Var,Var,Var,2 Yıllık,Evet,Elektronik,109.3,5731.4,Yok
Kadın,Evet,Bekar,Yok,60,Var,Var,Fiber Optik,Var,Yok,Yok,Yok,Var,Var,1 Yıllık,Evet,Havale,101.4,6176.6,Yok
Kadın,Hayır,Bekar,Yok,39,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Kredi Kartı,50.65,1905.4,Yok
Kadın,Hayır,Bekar,Yok,15,Var,Yok,DSL,Yok,Yok,Yok,Yok,Var,Yok,1 Yıllık,Hayır,Mail,56.15,931.9,Yok
Erkek,Hayır,Bekar,Yok,69,Var,Var,Fiber Optik,Yok,Yok,Var,Var,Var,Var,2 Yıllık,Evet,Havale,106.5,7348.8,Var
Erkek,Hayır,Evli,Var,43,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Evet,Mail,19.2,776.25,Yok
Kadın,Evet,Bekar,Yok,63,Var,Var,DSL,Var,Var,Var,Var,Var,Yok,1 Yıllık,Hayır,Havale,83.0,5243.05,Yok
Erkek,Evet,Evli,Yok,2,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,70.1,141.65,Yok
Kadın,Hayır,Evli,Var,72,Var,Yok,Fiber Optik,Var,Var,Var,Var,Var,Var,2 Yıllık,Evet,Havale,108.3,7679.65,Yok
Kadın,Hayır,Evli,Var,32,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Yok,Var,1 Aylık,Evet,Havale,91.05,2954.5,Var
Erkek,Hayır,Evli,Var,40,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,25.25,1006.9,Yok
Kadın,Hayır,Evli,Yok,58,Yok,Telefon Hizmeti Yok,DSL,Var,Var,Yok,Yok,Var,Yok,1 Yıllık,Evet,Elektronik,45.35,2540.1,Yok
Erkek,Hayır,Bekar,Yok,67,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Yok,Var,Var,Yok,2 Yıllık,Hayır,Elektronik,43.9,3097.2,Yok
Kadın,Evet,Evli,Yok,51,Var,Var,Fiber Optik,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,77.5,3807.35,Var
Erkek,Hayır,Evli,Yok,31,Var,Var,DSL,Yok,Yok,Var,Var,Var,Var,1 Yıllık,Evet,Mail,79.3,2484.0,Yok
Erkek,Evet,Evli,Yok,69,Var,Var,Fiber Optik,Var,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Kredi Kartı,84.9,5785.65,Yok
Erkek,Hayır,Evli,Yok,32,Var,Var,Fiber Optik,Yok,Yok,Yok,Var,Yok,Yok,1 Yıllık,Evet,Elektronik,79.25,2619.15,Yok
Kadın,Hayır,Bekar,Yok,21,Var,Yok,DSL,Var,Var,Yok,Var,Var,Yok,2 Yıllık,Hayır,Kredi Kartı,71.05,1524.85,Yok
Erkek,Hayır,Bekar,Yok,52,Var,Yok,DSL,Var,Yok,Var,Yok,Yok,Yok,1 Yıllık,Hayır,Elektronik,53.75,2790.65,Yok
Kadın,Hayır,Evli,Var,72,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,24.25,1784.5,Yok
Kadın,Hayır,Evli,Yok,72,Yok,Telefon Hizmeti Yok,DSL,Yok,Var,Var,Yok,Var,Var,2 Yıllık,Evet,Elektronik,54.2,3937.45,Var
Erkek,Hayır,Evli,Var,52,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Var,Yok,Yok,Var,1 Yıllık,Hayır,Havale,44.25,2276.1,Yok
Kadın,Hayır,Bekar,Yok,41,Var,Yok,DSL,Yok,Yok,Yok,Var,Yok,Yok,1 Yıllık,Hayır,Havale,50.05,2029.05,Yok
Erkek,Hayır,Bekar,Yok,41,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,20.15,802.35,Yok
Kadın,Hayır,Bekar,Yok,6,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Mail,69.25,418.4,Var
Erkek,Hayır,Evli,Var,67,Var,Var,DSL,Var,Var,Var,Var,Yok,Yok,1 Yıllık,Evet,Kredi Kartı,69.35,4653.25,Yok
Kadın,Hayır,Evli,Var,16,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,19.35,275.9,Yok
Erkek,Hayır,Bekar,Yok,17,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,19.15,343.45,Yok
Erkek,Hayır,Evli,Yok,35,Var,Yok,DSL,Var,Var,Var,Yok,Yok,Yok,1 Aylık,Hayır,Mail,61.0,2130.45,Yok
Kadın,Hayır,Evli,Var,58,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,20.5,1191.4,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Yok,DSL,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,50.5,50.5,Var
Erkek,Hayır,Evli,Var,52,Yok,Telefon Hizmeti Yok,DSL,Yok,Var,Var,Var,Var,Yok,2 Yıllık,Hayır,Mail,50.2,2554.0,Yok
Kadın,Hayır,Bekar,Yok,70,Var,Yok,DSL,Var,Yok,Var,Var,Var,Var,2 Yıllık,Hayır,Havale,79.6,5589.45,Yok
Kadın,Hayır,Evli,Var,19,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Havale,24.9,467.7,Yok
Erkek,Evet,Bekar,Yok,1,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,74.4,74.4,Var
Kadın,Hayır,Evli,Var,35,Var,Yok,Fiber Optik,Var,Yok,Var,Var,Var,Var,1 Aylık,Evet,Elektronik,106.9,3756.45,Yok
Kadın,Hayır,Bekar,Yok,32,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,101.35,3334.9,Yok
Kadın,Hayır,Evli,Var,17,Var,Yok,DSL,Var,Yok,Yok,Var,Yok,Yok,1 Aylık,Evet,Kredi Kartı,55.35,920.5,Yok
Kadın,Hayır,Evli,Var,67,Var,Yok,DSL,Yok,Var,Yok,Yok,Yok,Yok,1 Yıllık,Hayır,Kredi Kartı,50.55,3431.75,Yok
Kadın,Hayır,Bekar,Yok,9,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Havale,19.5,150.35,Yok
Erkek,Hayır,Bekar,Var,31,Var,Var,DSL,Yok,Var,Yok,Var,Var,Var,1 Yıllık,Evet,Mail,79.45,2587.7,Var
Erkek,Hayır,Bekar,Yok,4,Var,Var,Fiber Optik,Var,Yok,Yok,Yok,Var,Yok,1 Aylık,Hayır,Elektronik,90.65,367.95,Yok
Erkek,Evet,Evli,Var,58,Var,Var,Fiber Optik,Var,Var,Yok,Var,Yok,Yok,1 Yıllık,Evet,Havale,89.85,5125.75,Yok
Erkek,Hayır,Bekar,Yok,60,Var,Yok,DSL,Var,Yok,Var,Var,Var,Var,1 Yıllık,Hayır,Mail,79.0,4801.1,Yok
Erkek,Hayır,Bekar,Yok,58,Var,Var,Fiber Optik,Yok,Yok,Var,Var,Var,Var,1 Yıllık,Evet,Elektronik,104.65,6219.6,Var
Erkek,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,19.55,19.55,Yok
Kadın,Hayır,Evli,Var,27,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,19.9,550.1,Yok
Erkek,Evet,Evli,Var,66,Var,Var,Fiber Optik,Var,Var,Var,Var,Var,Var,1 Yıllık,Evet,Elektronik,116.25,7862.25,Yok
Erkek,Hayır,Bekar,Yok,15,Var,Var,Fiber Optik,Var,Yok,Yok,Yok,Var,Yok,1 Aylık,Evet,Havale,87.75,1242.2,Yok
Erkek,Evet,Evli,Yok,47,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,100.05,4871.05,Var
Kadın,Hayır,Bekar,Yok,41,Var,Var,Fiber Optik,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Kredi Kartı,81.3,3190.65,Yok
Erkek,Hayır,Evli,Yok,59,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,44.3,2666.75,Yok
Kadın,Hayır,Bekar,Var,50,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,2 Yıllık,Hayır,Kredi Kartı,70.35,3533.6,Yok
Erkek,Hayır,Evli,Var,17,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Var,Yok,Var,Yok,1 Yıllık,Hayır,Kredi Kartı,44.45,792.15,Yok
Erkek,Hayır,Evli,Var,6,Var,Yok,DSL,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,49.15,295.65,Yok
Erkek,Evet,Evli,Yok,51,Yok,Telefon Hizmeti Yok,DSL,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Kredi Kartı,29.45,1459.35,Yok
Erkek,Hayır,Bekar,Yok,44,Var,Yok,Fiber Optik,Yok,Var,Yok,Var,Var,Var,1 Aylık,Hayır,Elektronik,100.55,4398.15,Var
Erkek,Hayır,Evli,Yok,49,Var,Yok,Fiber Optik,Yok,Var,Yok,Yok,Var,Yok,1 Aylık,Evet,Kredi Kartı,85.3,4297.95,Yok
Erkek,Hayır,Bekar,Yok,2,Var,Yok,Fiber Optik,Yok,Var,Yok,Yok,Var,Var,1 Aylık,Hayır,Elektronik,95.65,167.3,Var
Erkek,Hayır,Evli,Yok,59,Var,Var,DSL,Var,Yok,Yok,Var,Yok,Var,1 Yıllık,Evet,Mail,69.1,4096.9,Yok
Erkek,Evet,Bekar,Yok,50,Var,Var,DSL,Var,Var,Yok,Yok,Var,Yok,1 Aylık,Evet,Havale,70.35,3454.6,Yok
Kadın,Hayır,Evli,Var,59,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,20.6,1286.0,Yok
Erkek,Hayır,Bekar,Yok,18,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,74.15,1387.0,Yok
Erkek,Hayır,Bekar,Yok,10,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,75.05,786.3,Yok
Erkek,Hayır,Evli,Yok,14,Var,Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Yıllık,Hayır,Elektronik,44.6,641.25,Yok
Erkek,Hayır,Bekar,Yok,35,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Havale,21.45,705.45,Yok
Erkek,Hayır,Evli,Var,8,Var,Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Yıllık,Evet,Mail,43.45,345.5,Yok
Erkek,Hayır,Evli,Var,18,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Havale,20.05,345.9,Yok
Kadın,Hayır,Evli,Var,60,Var,Var,Fiber Optik,Var,Var,Yok,Yok,Var,Yok,1 Yıllık,Hayır,Havale,94.15,5811.8,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Hayır,Elektronik,94.4,94.4,Var
Kadın,Hayır,Bekar,Yok,6,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,19.55,124.45,Yok
Kadın,Hayır,Bekar,Var,19,Var,Var,DSL,Var,Var,Yok,Var,Var,Yok,1 Aylık,Evet,Mail,75.9,1375.6,Yok
Erkek,Hayır,Evli,Var,53,Var,Var,DSL,Var,Var,Yok,Var,Yok,Yok,1 Yıllık,Hayır,Havale,64.15,3491.55,Yok
Erkek,Evet,Evli,Yok,72,Var,Var,Fiber Optik,Var,Var,Var,Yok,Var,Var,2 Yıllık,Evet,Havale,109.55,7920.7,Yok
Kadın,Hayır,Evli,Yok,60,Var,Var,Fiber Optik,Yok,Var,Var,Var,Var,Var,2 Yıllık,Evet,Kredi Kartı,110.8,6640.7,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Yok,DSL,Yok,Yok,Yok,Yok,Var,Yok,1 Aylık,Evet,Kredi Kartı,55.0,55.0,Var
Kadın,Hayır,Bekar,Var,13,Var,Yok,DSL,Yok,Yok,Var,Var,Yok,Yok,1 Aylık,Hayır,Mail,53.45,718.1,Yok
Kadın,Hayır,Evli,Var,5,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Kredi Kartı,69.95,320.4,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,101.45,101.45,Var
Erkek,Hayır,Evli,Var,13,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Hayır,Elektronik,97.0,1334.45,Yok
Erkek,Hayır,Bekar,Yok,37,Var,Var,DSL,Var,Var,Var,Var,Var,Var,1 Yıllık,Evet,Havale,90.6,3358.65,Yok
Erkek,Hayır,Evli,Yok,64,Var,Yok,Fiber Optik,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Mail,73.55,4764.0,Yok
Kadın,Hayır,Evli,Yok,5,Var,Var,DSL,Yok,Yok,Var,Var,Var,Yok,1 Aylık,Hayır,Havale,67.95,350.3,Var
Kadın,Hayır,Evli,Yok,61,Var,Var,Fiber Optik,Yok,Var,Yok,Var,Yok,Var,2 Yıllık,Evet,Havale,94.35,5703.0,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,69.5,69.5,Var
Erkek,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Evet,Mail,18.85,18.85,Var
Erkek,Hayır,Bekar,Yok,26,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Mail,19.4,525.55,Yok
